module_slug,question_text,option_a,option_b,option_c,option_d,correct_option,difficulty_score,tags
aptitude,"If x + 7 = 19, what is x?",10,11,12,13,C,600,fixture;algebra
aptitude,What is 0.25 expressed as a fraction?,1/2,1/3,1/4,1/5,C,600,fixture;fractions
aptitude,A train travels 180 km in 3 hours. What is its speed?,50 km/h,55 km/h,60 km/h,70 km/h,C,650,fixture;speed
aptitude,"If 2x - 5 = 11, what is x?",6,7,8,9,C,650,fixture;algebra
aptitude,What is the area of a rectangle 12 cm by 8 cm?,80 sq cm,88 sq cm,96 sq cm,104 sq cm,C,650,fixture;geometry
aptitude,Simplify 144 / 16,8,9,12,16,B,650,fixture;arithmetic
aptitude,What is 7 squared minus 4 squared?,33,25,49,9,A,700,fixture;arithmetic
aptitude,"If 5 pens cost 75 rupees, what do 8 pens cost?",100,110,120,125,C,700,fixture;proportion
aptitude,"What is the average of 12, 18, 24 and 30?",20,21,22,24,B,750,fixture;averages
aptitude,What is 1/3 + 1/6?,1/2,1/3,2/3,1/9,A,750,fixture;fractions
aptitude,What is 15% of 240?,30,36,40,45,B,800,fixture;percentages
aptitude,20% of a number is 50. What is the number?,200,250,300,350,B,800,fixture;percentages
aptitude,What is 3/4 + 2/5?,1.05,1.15,1.25,1.35,B,800,fixture;fractions
aptitude,What is the LCM of 12 and 18?,24,36,48,72,B,800,fixture;number-theory
aptitude,What is the HCF of 48 and 60?,6,12,15,24,B,800,fixture;number-theory
aptitude,A shopkeeper buys an item for 200 and sells it for 250. What is the profit percentage?,20%,25%,30%,50%,B,800,fixture;profit-loss
aptitude,What is 2 to the power of 10?,512,1024,2048,256,B,800,fixture;powers
aptitude,An item costs 400. What is the selling price at 25% profit?,425,450,500,525,C,800,fixture;profit-loss
aptitude,What is the simple interest on 5000 rupees at 8% for 2 years?,400,600,800,1000,C,850,fixture;interest
aptitude,"Two numbers are in the ratio 3:5 and add up to 64. What is the larger number?",24,32,40,48,C,850,fixture;ratios
aptitude,What is the sum of the first 20 natural numbers?,190,200,210,220,C,850,fixture;series
aptitude,What is 25% of 80 plus 30% of 50?,30,35,40,45,B,850,fixture;percentages
aptitude,What is the square root of 1764?,40,42,44,46,B,900,fixture;roots
aptitude,What is 45% of 300 plus 25% of 200?,175,180,185,190,C,900,fixture;percentages
aptitude,How far does a car travel at 45 km/h in 40 minutes?,25 km,30 km,35 km,40 km,B,900,fixture;speed
aptitude,A shirt costs 800 rupees after a 20% discount. What was the original price?,960,1000,1020,1080,B,950,fixture;discounts
aptitude,12 workers finish a job in 10 days. How long would 15 workers take?,6 days,7 days,8 days,9 days,C,950,fixture;work-rate
aptitude,"The mean of 5 numbers is 20. Four of them are 15, 18, 22 and 25. What is the fifth?",18,20,22,25,B,950,fixture;averages
aptitude,"An article costing 1200 is sold at a 15% loss. What is the selling price?",960,1020,1080,1140,B,950,fixture;profit-loss
aptitude,A price rises by 10% and then by 10% again. What is the total percentage rise?,20%,21%,22%,25%,B,1000,fixture;percentages
aptitude,What is the compound interest on 1000 rupees at 10% per annum for 2 years?,200,210,220,240,B,1050,fixture;interest
aptitude,60% of the students in a class are boys and there are 240 girls. What is the total number of students?,400,500,600,700,C,1050,fixture;percentages
aptitude,A number is increased by 20% and then decreased by 20%. What is the net change?,-4%,0%,+4%,-2%,A,1100,fixture;percentages
aptitude,What is 15% of 15% of 400?,6,9,12,15,B,1100,fixture;percentages
aptitude,5 machines produce 100 units in 2 hours. How many units do 8 machines produce in 3 hours?,200,220,240,260,C,1100,fixture;work-rate
aptitude,A sum of money doubles in 5 years under simple interest. What is the annual rate?,10%,15%,20%,25%,C,1150,fixture;interest
aptitude,Pipe A fills a tank in 6 hours and pipe B in 3 hours. How long do they take together?,1.5 hours,2 hours,2.5 hours,3 hours,B,1150,fixture;work-rate
aptitude,"If a:b = 2:3 and b:c = 4:5, what is a:c?",8:15,2:5,3:5,6:15,A,1200,fixture;ratios
aptitude,"3 apples cost the same as 4 oranges. If an orange costs 6 rupees, what does one apple cost?",6,8,9,12,B,1200,fixture;ratios
aptitude,A car covers 240 km at 60 km/h and another 240 km at 80 km/h. What is the average speed for the whole journey?,65 km/h,68.6 km/h,70 km/h,72 km/h,B,1250,fixture;speed
