module_slug,question_text,pattern,option_a,option_a_weights,option_a_behavior,option_b,option_b_weights,option_b_behavior,option_c,option_c_weights,option_c_behavior,option_d,option_d_weights,option_d_behavior,tags
personality,"Your teammate is struggling to finish an important task before the deadline. What would you most likely do?",situational,"Drop your own work and help them finish it.",teamwork:3;empathy:3;accountability:1,Supportive,"Tell your manager straight away so they can re-plan.",accountability:2;communication:2;teamwork:-2;empathy:-2,Escalating,"Stay focused on your own deliverables.",leadership:-2;teamwork:-3;empathy:-2,Disengaged,"Work through it with them so they can finish it themselves.",leadership:3;teamwork:2;empathy:2;accountability:2,Coaching,fixture;behavioral;deadline-pressure
personality,"You realise halfway through the day that you may not finish your own work before the deadline. What would you most likely do?",situational,"Tell the team immediately and ask for suggestions.",teamwork:3;communication:3;accountability:2,Collaborative,"Keep working alone and only ask for help if it becomes unavoidable.",teamwork:1;accountability:2;communication:-1,Independent,"Re-prioritise and finish the most critical parts first.",accountability:3;ownership:2;adaptability:2,Planning,"Stay late as long as it takes to finish everything yourself.",ownership:3;accountability:3;resilience:1;teamwork:-1,Ownership,fixture;behavioral;deadline-pressure
personality,"You spot a mistake in work your team already delivered to the client. Nobody else has noticed. What do you do?",situational,"Raise it immediately, even though it reflects badly on the team.",integrity:3;accountability:3;ownership:2,Transparent,"Fix it quietly and say nothing.",integrity:-2;ownership:1;communication:-2,Concealing,"Mention it to your manager privately first.",integrity:2;communication:1;accountability:1,Discreet,"Wait and see whether the client notices.",integrity:-3;accountability:-3;ownership:-2,Avoidant,fixture;behavioral;integrity
personality,"A colleague asks you to sign off on work you have not actually reviewed. What do you do?",situational,"Sign it. You trust them and the deadline is tight.",integrity:-3;accountability:-2;risk_tolerance:2,Accommodating,"Review it properly first, even if that misses the deadline.",integrity:3;accountability:3;risk_tolerance:-1,Diligent,"Sign it but note that you did not review it.",integrity:1;communication:2;accountability:1,Qualified,"Ask someone else to review it in your place.",integrity:1;teamwork:1;ownership:-1,Delegating,fixture;behavioral;integrity
personality,"Three weeks into a project your team's approach clearly is not working. What do you do?",situational,"Propose a different approach and make the case for it.",leadership:3;adaptability:3;communication:2,Directing,"Raise your concerns and let the team decide.",teamwork:2;communication:2;leadership:1,Consultative,"Keep going. Changing direction now would waste the work already done.",adaptability:-3;risk_tolerance:-2;ownership:1,Persisting,"Quietly start building an alternative in parallel.",adaptability:2;risk_tolerance:2;teamwork:-2;communication:-2,Unilateral,fixture;behavioral;adaptability
personality,"A major release fails in production an hour before you were due to finish. How do you react?",situational,"Take charge of the response and coordinate the fix.",leadership:3;ownership:3;resilience:2,Directing,"Work steadily through the problem without getting rattled.",resilience:3;accountability:2;ownership:2,Composed,"Escalate to whoever is on call and hand it over.",ownership:-2;communication:1;accountability:-1,Escalating,"Push through, but find it hard to think clearly.",resilience:-3;ownership:1,Overwhelmed,fixture;behavioral;resilience
personality,"Which describes you better?",forced_choice,"I enjoy leading discussions.",leadership:3;communication:2,Directing,"I enjoy analysing hard problems on my own.",ownership:2;adaptability:1;leadership:-1,Analysing,,,,,,,fixture;behavioral
personality,"Which of these is more true of you?",forced_choice,"I am the person who keeps everyone aligned.",communication:3;teamwork:3,Aligning,"I am the person who quietly gets things finished.",ownership:3;accountability:3;communication:-1,Delivering,,,,,,,fixture;behavioral
personality,"Which matters more to you at work?",forced_choice,"Being trusted.",integrity:3;leadership:2;empathy:-1,Principled,"Being liked.",empathy:3;teamwork:2;leadership:-1,Affiliative,,,,,,,fixture;behavioral
personality,"Which is more like you?",forced_choice,"I adapt quickly when priorities change.",adaptability:3;resilience:2,Flexible,"I hold a plan steady once it has been agreed.",accountability:3;ownership:2;adaptability:-2,Steady,,,,,,,fixture;behavioral
personality,"The deadline is tight. Which would you prefer?",trade_off,"Deliver quickly, accepting a few minor mistakes.",risk_tolerance:3;adaptability:2;accountability:-2,Speed,"Take the extra time to make sure everything is right.",accountability:3;ownership:2;risk_tolerance:-2,Thoroughness,,,,,,,fixture;behavioral;speed-vs-quality
personality,"A decision needs making and the team is split. Which would you prefer?",trade_off,"Make the call yourself and move on.",ownership:3;leadership:2;teamwork:-2,Decisive,"Check with the team before deciding.",teamwork:3;communication:2;leadership:-1,Consultative,,,,,,,fixture;behavioral;independence-vs-collaboration
personality,"Something has gone wrong on your work. Which would you prefer?",trade_off,"Escalate it early, even if it turns out to be nothing.",communication:3;accountability:2;risk_tolerance:-2,Escalating,"Solve it yourself and report once it is resolved.",ownership:3;resilience:2;communication:-2,Self-reliant,,,,,,,fixture;behavioral;ownership-vs-escalation
personality,"You are starting something unfamiliar. Which would you prefer?",trade_off,"Plan the work out thoroughly before starting.",accountability:3;ownership:1;adaptability:-2,Planning,"Start, and adjust as you learn.",adaptability:3;risk_tolerance:2;accountability:-1,Improvising,,,,,,,fixture;behavioral;planning-vs-improvisation
personality,"Rank these from most like you to least like you.",ranking,"Planning the work out before starting",accountability:3;ownership:2,Planning,"Taking the lead when nobody else does",leadership:3;communication:2,Leadership,"Finding a way nobody has tried",adaptability:3;risk_tolerance:2,Creativity,"Backing a decision before all the data is in",risk_tolerance:3;leadership:1,Risk-taking,fixture;behavioral;priorities
personality,"Rank these workplace priorities from most to least important to you.",ranking,"Being trusted to do the right thing",integrity:3;accountability:2,Integrity,"Keeping the team working well together",teamwork:3;empathy:2,Teamwork,"Delivering what you committed to",accountability:3;ownership:3,Delivery,"Staying calm when everything is going wrong",resilience:3;adaptability:1,Resilience,fixture;behavioral;priorities
