module_slug,question_text,option_a,option_a_weights,option_b,option_b_weights,option_c,option_c_weights,option_d,option_d_weights,tags
personality,I enjoy trying approaches nobody on the team has used before.,Strongly agree,adaptability:2,Agree,adaptability:1,Disagree,adaptability:-1,Strongly disagree,adaptability:-2,fixture;adaptability
personality,When a project introduces an unfamiliar tool my first reaction is curiosity.,Strongly agree,adaptability:2,Agree,adaptability:1,Disagree,adaptability:-1,Strongly disagree,adaptability:-2,fixture;adaptability
personality,I read about subjects well outside my own field.,Strongly agree,adaptability:2,Agree,adaptability:1,Disagree,adaptability:-1,Strongly disagree,adaptability:-2,fixture;adaptability
personality,I would rather refine something that already works than redesign it.,Strongly agree,adaptability:-2,Agree,adaptability:-1,Disagree,adaptability:1,Strongly disagree,adaptability:2,fixture;adaptability;reverse-keyed
personality,Open-ended problems with no obvious method appeal to me.,Strongly agree,adaptability:2,Agree,adaptability:1,Disagree,adaptability:-1,Strongly disagree,adaptability:-2,fixture;adaptability
personality,I plan my week in advance.,Strongly agree,accountability:2;ownership:2,Agree,accountability:1;ownership:1,Disagree,accountability:-1;ownership:-1,Strongly disagree,accountability:-2;ownership:-2,fixture;accountability
personality,I double-check my work before submitting it.,Strongly agree,accountability:2;ownership:2,Agree,accountability:1;ownership:1,Disagree,accountability:-1;ownership:-1,Strongly disagree,accountability:-2;ownership:-2,fixture;accountability
personality,I often leave tasks until close to the deadline.,Strongly agree,accountability:-2;ownership:-2,Agree,accountability:-1;ownership:-1,Disagree,accountability:1;ownership:1,Strongly disagree,accountability:2;ownership:2,fixture;accountability;reverse-keyed
personality,I keep detailed notes and records of my work.,Strongly agree,accountability:2;ownership:2,Agree,accountability:1;ownership:1,Disagree,accountability:-1;ownership:-1,Strongly disagree,accountability:-2;ownership:-2,fixture;accountability
personality,I finish what I start even when it stops being interesting.,Strongly agree,accountability:2;ownership:2,Agree,accountability:1;ownership:1,Disagree,accountability:-1;ownership:-1,Strongly disagree,accountability:-2;ownership:-2,fixture;accountability
personality,Meeting new people energises me.,Strongly agree,communication:2,Agree,communication:1,Disagree,communication:-1,Strongly disagree,communication:-2,fixture;communication
personality,I speak up early in group discussions.,Strongly agree,communication:2,Agree,communication:1,Disagree,communication:-1,Strongly disagree,communication:-2,fixture;communication
personality,After a full day of meetings I feel drained.,Strongly agree,communication:-2,Agree,communication:-1,Disagree,communication:1,Strongly disagree,communication:2,fixture;communication;reverse-keyed
personality,I would rather present my team's work myself than have someone else do it.,Strongly agree,communication:2,Agree,communication:1,Disagree,communication:-1,Strongly disagree,communication:-2,fixture;communication
personality,I would rather work alone than as part of a group.,Strongly agree,communication:-2;teamwork:-1;empathy:-1,Agree,communication:-1,Disagree,communication:1,Strongly disagree,communication:2;teamwork:1;empathy:1,fixture;communication;reverse-keyed
personality,I go out of my way to help colleagues who have fallen behind.,Strongly agree,teamwork:2;empathy:2,Agree,teamwork:1;empathy:1,Disagree,teamwork:-1;empathy:-1,Strongly disagree,teamwork:-2;empathy:-2,fixture;teamwork
personality,In a disagreement I look for the other person's point of view first.,Strongly agree,teamwork:2;empathy:2,Agree,teamwork:1;empathy:1,Disagree,teamwork:-1;empathy:-1,Strongly disagree,teamwork:-2;empathy:-2,fixture;teamwork
personality,I find it easy to tell someone their work is not good enough.,Strongly agree,teamwork:-2;empathy:-2,Agree,teamwork:-1;empathy:-1,Disagree,teamwork:1;empathy:1,Strongly disagree,teamwork:2;empathy:2,fixture;teamwork;reverse-keyed
personality,I trust new teammates until they give me a reason not to.,Strongly agree,teamwork:2;empathy:2,Agree,teamwork:1;empathy:1,Disagree,teamwork:-1;empathy:-1,Strongly disagree,teamwork:-2;empathy:-2,fixture;teamwork
personality,I would rather reach a compromise than win an argument.,Strongly agree,teamwork:2;empathy:2,Agree,teamwork:1;empathy:1,Disagree,teamwork:-1;empathy:-1,Strongly disagree,teamwork:-2;empathy:-2,fixture;teamwork
personality,Tight deadlines make me anxious.,Strongly agree,resilience:-2,Agree,resilience:-1,Disagree,resilience:1,Strongly disagree,resilience:2,fixture;resilience
personality,I stay calm when a project goes badly wrong.,Strongly agree,resilience:2,Agree,resilience:1,Disagree,resilience:-1,Strongly disagree,resilience:-2,fixture;resilience;reverse-keyed
personality,I worry about mistakes long after they have been fixed.,Strongly agree,resilience:-2,Agree,resilience:-1,Disagree,resilience:1,Strongly disagree,resilience:2,fixture;resilience
personality,Critical feedback from a manager affects me for days.,Strongly agree,resilience:-2,Agree,resilience:-1,Disagree,resilience:1,Strongly disagree,resilience:2,fixture;resilience
personality,I recover quickly from setbacks at work.,Strongly agree,resilience:2,Agree,resilience:1,Disagree,resilience:-1,Strongly disagree,resilience:-2,fixture;resilience;reverse-keyed
