module_slug,question_text,pattern,option_a,option_a_weights,option_a_behavior,option_b,option_b_weights,option_b_behavior,option_c,option_c_weights,option_c_behavior,option_d,option_d_weights,option_d_behavior,probe_group,tags
personality,"A colleague's work is not good enough and it is starting to affect the team. Nobody has told them. What do you do?",situational,"Tell them directly, and be specific about what has to change.",communication:3;empathy:1;leadership:3;integrity:3,Direct,"Hint at it gently and hope they pick it up.",communication:-1;empathy:2;leadership:-1;integrity:-1,Softening,"Raise it with their manager rather than with them.",communication:1;empathy:-2;leadership:1;integrity:1,Routing,"Say nothing — managing them is not your job.",communication:-3;empathy:-1;leadership:-3;integrity:-3,Avoiding,pg-hard-feedback,fixture;probe;behavioral;communication
personality,"You are reviewing a peer's document and it is well below the standard expected. What do you do?",situational,"Leave a general 'looks fine' and move on.",communication:-3;empathy:-1;leadership:-3;integrity:-3,Avoiding,"Pass your concerns to whoever owns the review process.",communication:1;empathy:-2;leadership:1;integrity:1,Routing,"Write clear comments on exactly what has to change.",communication:3;empathy:1;leadership:3;integrity:3,Direct,"Note a couple of small points and leave the bigger problem alone.",communication:-1;empathy:2;leadership:-1;integrity:-1,Softening,pg-hard-feedback,fixture;probe;behavioral;communication
personality,"A supplier missed their date, so your delivery will be late. Your manager asks why. What do you say?",situational,"That the date has slipped, and what you are doing about it.",accountability:3;ownership:3;integrity:2;resilience:2,Owning,"That the supplier failed and it was out of your hands.",accountability:-2;ownership:-3;integrity:-1;resilience:-1,Externalising,"That you should have had a fallback, and you are building one.",accountability:2;ownership:2;integrity:3;resilience:3,Learning,"As little as possible until you see where the blame lands.",accountability:-3;ownership:-2;integrity:-3;resilience:-2,Hedging,pg-external-blame,fixture;probe;behavioral;accountability
personality,"A tool you depend on was down all day and you missed your commitment. You are asked what happened. What do you say?",situational,"Nothing specific until you see how it is being taken.",accountability:-3;ownership:-2;integrity:-3;resilience:-2,Hedging,"That the outage had nothing to do with you.",accountability:-2;ownership:-3;integrity:-1;resilience:-1,Externalising,"That you missed it, and what you have already set in motion.",accountability:3;ownership:3;integrity:2;resilience:2,Owning,"That you had no contingency, and describe the one you are adding.",accountability:2;ownership:2;integrity:3;resilience:3,Learning,pg-external-blame,fixture;probe;behavioral;accountability
personality,"A decision is needed and half the information is missing. Which would you rather do?",trade_off,"Decide now on what you have and adjust later.",risk_tolerance:3;leadership:2;adaptability:3;accountability:-1,Deciding,"Wait until the missing information arrives.",risk_tolerance:-3;leadership:-2;adaptability:-3;accountability:1,Waiting,,,,,,,pg-decide-unsure,fixture;probe;behavioral;risk-tolerance
personality,"The team is stuck waiting on a figure that may not arrive this week. Which would you rather do?",trade_off,"Hold the decision until the figure lands.",risk_tolerance:-3;leadership:-2;adaptability:-3;accountability:1,Waiting,"Pick a direction now and revisit it when the figure arrives.",risk_tolerance:3;leadership:2;adaptability:3;accountability:-1,Deciding,,,,,,,pg-decide-unsure,fixture;probe;behavioral;risk-tolerance
personality,"You are already at capacity when you are handed another piece of work. What do you do?",situational,"Say yes and absorb it somehow.",communication:-2;resilience:1;accountability:-2;ownership:2,Absorbing,"Say what would have to slip, and ask them to choose.",communication:3;resilience:2;accountability:3;ownership:2,Negotiating,"Take it, and let something quietly slide.",communication:-3;resilience:-2;accountability:-3;ownership:-2,Overcommitting,"Say you cannot take it on.",communication:2;resilience:-1;accountability:2;ownership:-1,Declining,pg-workload-limits,fixture;probe;behavioral;communication
personality,"Your week is already full when a second manager asks you to pick something up as well. What do you do?",situational,"Accept, and drop whichever task is least visible.",communication:-3;resilience:-2;accountability:-3;ownership:-2,Overcommitting,"Set out the trade-off and let the two of them settle the priority.",communication:3;resilience:2;accountability:3;ownership:2,Negotiating,"Turn it down outright.",communication:2;resilience:-1;accountability:2;ownership:-1,Declining,"Agree, and find the hours somewhere.",communication:-2;resilience:1;accountability:-2;ownership:2,Absorbing,pg-workload-limits,fixture;probe;behavioral;communication
personality,"Skipping a required sign-off would let you hit the deadline, and nobody would know. What do you do?",situational,"Skip it — the deadline matters more.",integrity:-3;accountability:-3;risk_tolerance:3;ownership:-1,Cutting corners,"Get the sign-off and miss the deadline.",integrity:3;accountability:3;risk_tolerance:-3;ownership:1,By the book,"Ask for an exception, on the record.",integrity:2;accountability:2;risk_tolerance:1;ownership:3,Escalating,"Skip it now and have it signed retrospectively.",integrity:-1;accountability:-1;risk_tolerance:2;ownership:1,Retrofitting,pg-process-shortcut,fixture;probe;behavioral;integrity
personality,"A required test suite takes two hours you do not have before release. What do you do?",situational,"Release now and run the suite afterwards.",integrity:-1;accountability:-1;risk_tolerance:2;ownership:1,Retrofitting,"Ask openly for permission to release without it.",integrity:2;accountability:2;risk_tolerance:1;ownership:3,Escalating,"Leave it out — it will almost certainly be fine.",integrity:-3;accountability:-3;risk_tolerance:3;ownership:-1,Cutting corners,"Run it and release late.",integrity:3;accountability:3;risk_tolerance:-3;ownership:1,By the book,pg-process-shortcut,fixture;probe;behavioral;integrity
