module_slug,question_text,option_a,option_b,option_c,option_d,correct_option,difficulty_score,probe_group,tags
verbal-ability,"Choose the correct form: Neither of the reports ___ ready for review.",are,is,were,have been,B,900,pgv-agreement,fixture;probe;grammar
verbal-ability,"Complete the sentence: Each of the applicants ___ been contacted.",has,have,having,are,A,900,pgv-agreement,fixture;probe;grammar
verbal-ability,"Which word is closest in meaning to 'meticulous'?",careless,thorough,hurried,generous,B,950,pgv-precise-synonym,fixture;probe;vocabulary
verbal-ability,"Select the word nearest in meaning to 'fastidious'.",painstaking,indifferent,reckless,vague,A,950,pgv-precise-synonym,fixture;probe;vocabulary
verbal-ability,"Which word is most nearly opposite in meaning to 'abundant'?",plentiful,scarce,ample,sufficient,B,900,pgv-abundant-antonym,fixture;probe;vocabulary
verbal-ability,"Choose the word most nearly opposite in meaning to 'copious'.",sparse,generous,lavish,profuse,A,900,pgv-abundant-antonym,fixture;probe;vocabulary
verbal-ability,"Which sentence is correctly written?","Walking to the office, the rain soaked my coat.","Walking to the office, I got my coat soaked by the rain.","Walking to the office, my coat was soaked by the rain.","The rain, walking to the office, soaked my coat.",B,1100,pgv-modifier,fixture;probe;sentence-correction
verbal-ability,"Pick the correctly written sentence.","After reviewing the file, the errors became obvious to the auditor.","After reviewing the file, the auditor's findings were obvious.","After reviewing the file, the auditor found the errors obvious.","The errors, after reviewing the file, became obvious.",C,1100,pgv-modifier,fixture;probe;sentence-correction
verbal-ability,"'The committee's report was long, well-referenced, and arrived four months after the deadline it had itself proposed.' What does the writer imply?",The report was poorly researched,The report was thorough but very late,The report was rejected outright,The report was far too short,B,1150,pgv-implication,fixture;probe;comprehension
verbal-ability,"'The new guidelines are clearly written and thoroughly indexed; whether anyone will read them is another matter.' What is the writer suggesting?",The guidelines may go unread despite being well made,The guidelines are badly organised,The guidelines are too brief to be useful,The guidelines have been withdrawn,A,1150,pgv-implication,fixture;probe;comprehension
verbal-ability,"'The manager had reservations about the plan.' In this sentence 'reservations' means:",bookings,doubts,reserved seats,savings,B,1000,pgv-word-in-context,fixture;probe;vocabulary
verbal-ability,"'She gave a very dry account of the incident.' Here 'dry' means:",humourless and plain,thirsty,slightly damp,easily broken,A,1000,pgv-word-in-context,fixture;probe;vocabulary
