module_slug,question_text,pattern,option_a,option_a_weights,option_a_behavior,option_b,option_b_weights,option_b_behavior,option_c,option_c_weights,option_c_behavior,option_d,option_d_weights,option_d_behavior,tags
personality,"A process you designed is now slowing the team down, though it was the right call when you introduced it. What do you do?",situational,"Retire it yourself and say plainly that it has outlived its purpose.",ownership:3;adaptability:3;integrity:2,Retires it,"Ask the team to propose a replacement before you change anything.",teamwork:3;leadership:1;ownership:-1,Delegates the fix,"Keep it until someone raises it formally — it is still doing its job.",accountability:1;adaptability:-3,Waits to be told,"Defend it, since the team has not seen the problems it prevents.",ownership:1;adaptability:-2;teamwork:-2,Defends it,fixture;advanced
personality,"You are certain a decision is wrong, but you have already argued the case twice and lost. The work starts Monday. What do you do?",situational,"Commit fully and make it work, keeping your concerns to yourself.",teamwork:3;adaptability:2;communication:-1,Commits,"Put your objection in writing once, then commit fully.",integrity:3;communication:3;accountability:2,Records and commits,"Commit, but do the minimum so the outcome speaks for itself.",integrity:-3;teamwork:-3;accountability:-2,Withholds effort,"Take it to someone more senior than the person who decided.",risk_tolerance:2;leadership:1;teamwork:-2,Escalates over,fixture;advanced
personality,"A high performer on your team is quietly making life difficult for two quieter colleagues. Their output is the best you have. What do you do?",situational,"Address it directly with them, accepting you may lose them.",leadership:3;integrity:3;risk_tolerance:2,Confronts it,"Restructure the work so they interact less.",adaptability:2;empathy:1;leadership:-2,Works around it,"Speak to the two colleagues first about what they want done.",empathy:3;teamwork:2;leadership:1,Consults those affected,"Wait for a formal complaint before acting on hearsay.",accountability:1;empathy:-3;leadership:-2,Waits for a complaint,fixture;advanced
personality,"Halfway through a project you realise your original estimate was badly wrong. Nobody has noticed yet. What do you do?",situational,"Flag it immediately with a revised plan, before anyone asks.",integrity:3;accountability:3;communication:2,Flags early,"Work longer hours and try to bring it back on track quietly.",ownership:2;resilience:2;communication:-3,Absorbs it,"Raise it at the next scheduled check-in with the rest of the update.",accountability:1;communication:1,Raises on schedule,"Wait to see whether it recovers on its own first.",integrity:-2;accountability:-3,Waits it out,fixture;advanced
personality,"You inherit a team where the previous lead was well liked but let standards slip. What do you do in your first month?",situational,"Set the new standard immediately and explain why.",leadership:3;communication:2;risk_tolerance:2,Sets the bar,"Spend the month listening before changing anything.",empathy:3;teamwork:2;leadership:-1,Listens first,"Raise the standard on one visible thing and let it spread.",leadership:2;adaptability:2;communication:1,Leads by example,"Keep things as they are — the team is functioning.",adaptability:-3;leadership:-3,Preserves,fixture;advanced
personality,"Two people you rate equally are up for one promotion. One has asked for it repeatedly; the other has not asked at all. What do you do?",situational,"Choose on evidence alone and explain the reasoning to both.",integrity:3;communication:3;empathy:1,Decides on merit,"Favour the one who asked — wanting it is part of being ready.",risk_tolerance:1;empathy:-2;integrity:-1,Rewards asking,"Ask the quieter one whether they want it before deciding.",empathy:3;communication:2;integrity:1,Checks assumptions,"Delay the decision and look for a second opening.",risk_tolerance:-2;leadership:-2,Defers,fixture;advanced
personality,"A client asks for something you can deliver, but you believe it will not solve their actual problem. What do you do?",situational,"Build what they asked for — it is their call to make.",teamwork:1;integrity:-2;communication:-2,Complies,"Say clearly why you think it is wrong, then build it if they insist.",integrity:3;communication:3;accountability:2,Advises then delivers,"Build a small version of your alternative to show them instead.",risk_tolerance:2;ownership:2;communication:1,Demonstrates,"Decline until they can explain the reasoning.",integrity:1;teamwork:-3;empathy:-2,Refuses,fixture;advanced
personality,"You are handed a deadline you are fairly sure is unachievable, by someone who has already been told twice that it is. What do you do?",situational,"Accept it and start, raising it again only with evidence.",resilience:2;accountability:2;communication:-1,Starts anyway,"Give a plan for what is achievable by that date instead.",communication:3;accountability:3;ownership:2,Reframes it,"Accept it publicly and manage expectations privately.",integrity:-2;communication:-1,Manages quietly,"Refuse to commit to a date you do not believe.",integrity:2;teamwork:-2;adaptability:-2,Declines,fixture;advanced
personality,"Which would you rather be known for?",trade_off,"Being the person who always delivers what they promised.",accountability:3;ownership:2;risk_tolerance:-2,Reliability,"Being the person who takes on what nobody else will.",risk_tolerance:3;leadership:2;accountability:-1,Boldness,,,,,,,fixture;advanced
personality,"A project can have one of these. Which do you choose?",trade_off,"A team that gets on well and works at a steady pace.",teamwork:3;empathy:2;risk_tolerance:-2,Harmony,"A team that argues openly and moves faster for it.",communication:3;risk_tolerance:2;teamwork:-1,Friction,,,,,,,fixture;advanced
