module_slug,question_text,pattern,option_a,option_a_weights,option_a_behavior,option_b,option_b_weights,option_b_behavior,option_c,option_c_weights,option_c_behavior,option_d,option_d_weights,option_d_behavior,probe_group,tags
personality,"A colleague sitting near you is clearly not going to finish an important task by tomorrow. Your own work is on track. What would you most likely do?",situational,"Take part of their workload onto your own plate.",teamwork:3;empathy:3;accountability:1;leadership:1,Supportive,"Walk through the problem with them so they can finish it themselves.",teamwork:2;empathy:2;accountability:2;leadership:3,Coaching,"Tell your lead that the deadline is at risk.",teamwork:-2;empathy:-2;accountability:2;leadership:2,Escalating,"Stay on your own work — their deadline is theirs to manage.",teamwork:-3;empathy:-2;accountability:-2;leadership:-3,Detached,pg-help-behind,fixture;probe;behavioral;teamwork
personality,"You finish your own tasks for the day early. Someone else on the same project is visibly behind on theirs. What do you do?",situational,"Ask what is blocking them and work through it with them.",teamwork:2;empathy:2;accountability:2;leadership:3,Coaching,"Say nothing — they will ask if they want a hand.",teamwork:-3;empathy:-2;accountability:-2;leadership:-3,Detached,"Pick up whichever of their items you can finish yourself.",teamwork:3;empathy:3;accountability:1;leadership:1,Supportive,"Mention the slippage to whoever is running the project.",teamwork:-2;empathy:-2;accountability:2;leadership:2,Escalating,pg-help-behind,fixture;probe;behavioral;teamwork
personality,"A week after you signed it off, you spot an error in a figure that has already gone to the client. What do you do?",situational,"Tell the client and your lead straight away.",integrity:3;accountability:3;communication:3;ownership:2,Disclosing,"Correct it quietly and mention it only if someone asks.",integrity:-2;accountability:-1;communication:-3;ownership:1,Concealing,"Fix it first, then tell your lead once it is sorted.",integrity:1;accountability:2;communication:-1;ownership:3,Self-reliant,"Wait and see whether anyone notices.",integrity:-3;accountability:-3;communication:-3;ownership:-3,Avoiding,pg-own-error,fixture;probe;behavioral;integrity
personality,"A defect you introduced has reached production. Nobody has connected it to you yet. What do you do?",situational,"Say nothing unless it gets traced back to you.",integrity:-3;accountability:-3;communication:-3;ownership:-3,Avoiding,"Put your hand up immediately and explain what happened.",integrity:3;accountability:3;communication:3;ownership:2,Disclosing,"Resolve it, then report it as already handled.",integrity:1;accountability:2;communication:-1;ownership:3,Self-reliant,"Push a fix without drawing attention to where it came from.",integrity:-2;accountability:-1;communication:-3;ownership:1,Concealing,pg-own-error,fixture;probe;behavioral;integrity
personality,"A meeting has drifted for twenty minutes with nobody chairing it. What would you most likely do?",situational,"Step in and put some structure on the discussion.",leadership:3;ownership:2;communication:3;risk_tolerance:2,Taking charge,"Suggest that the most senior person in the room takes it over.",leadership:1;ownership:1;communication:2;risk_tolerance:-1,Prompting,"Contribute when asked and let it run its course.",leadership:-2;ownership:-2;communication:-1;risk_tolerance:-2,Following,"Wait for it to end and raise your points separately.",leadership:-3;ownership:-1;communication:-3;risk_tolerance:-3,Withdrawing,pg-lead-vacuum,fixture;probe;behavioral;leadership
personality,"A project has kicked off with nobody clearly responsible for coordinating it. What do you do?",situational,"Get on with your own part and let coordination sort itself out.",leadership:-2;ownership:-2;communication:-1;risk_tolerance:-2,Following,"Start coordinating it yourself.",leadership:3;ownership:2;communication:3;risk_tolerance:2,Taking charge,"Raise it with your manager and ask them to appoint someone.",leadership:1;ownership:1;communication:2;risk_tolerance:-1,Prompting,"Keep your head down until somebody is named.",leadership:-3;ownership:-1;communication:-3;risk_tolerance:-3,Withdrawing,pg-lead-vacuum,fixture;probe;behavioral;leadership
personality,"Which would you prefer?",trade_off,"Ship on Friday with a few rough edges left in.",risk_tolerance:3;adaptability:2;accountability:-2;ownership:-1,Speed,"Ship on Tuesday with everything checked.",risk_tolerance:-3;adaptability:-2;accountability:3;ownership:2,Thoroughness,,,,,,,pg-speed-vs-care,fixture;probe;behavioral;speed-vs-quality
personality,"A client asks whether you could deliver a week earlier than planned. Which would you rather do?",trade_off,"Hold the original date and hand over something fully tested.",risk_tolerance:-3;adaptability:-2;accountability:3;ownership:2,Thoroughness,"Take the earlier date and drop the optional checks.",risk_tolerance:3;adaptability:2;accountability:-2;ownership:-1,Speed,,,,,,,pg-speed-vs-care,fixture;probe;behavioral;speed-vs-quality
personality,"On the morning of your deadline your priorities are rewritten, and the deadline still stands. What do you do?",situational,"Re-plan the day and get on with the new list.",adaptability:3;resilience:3;accountability:2;communication:1,Re-planning,"Ask which of the two you are actually being measured on.",adaptability:1;resilience:1;accountability:2;communication:3,Clarifying,"Push back and ask for the deadline to move.",adaptability:-1;resilience:-1;accountability:1;communication:2,Negotiating,"Carry on with the original plan and hope it still counts.",adaptability:-3;resilience:-2;accountability:-2;communication:-3,Rigid,pg-plans-change,fixture;probe;behavioral;adaptability
personality,"You are halfway through a piece of work when the requirements change substantially. What do you do?",situational,"Finish what you started — the new version can be a second pass.",adaptability:-3;resilience:-2;accountability:-2;communication:-3,Rigid,"Go back and confirm what success looks like now.",adaptability:1;resilience:1;accountability:2;communication:3,Clarifying,"Rework it to the new requirements and keep moving.",adaptability:3;resilience:3;accountability:2;communication:1,Re-planning,"Ask for more time before you change anything.",adaptability:-1;resilience:-1;accountability:1;communication:2,Negotiating,pg-plans-change,fixture;probe;behavioral;adaptability
personality,"In a meeting, someone far more senior than you states something you know to be factually wrong. What do you do?",situational,"Correct it there and then, politely.",communication:3;integrity:3;leadership:2;risk_tolerance:3,Speaking up,"Raise it with them privately afterwards.",communication:2;integrity:2;leadership:1;risk_tolerance:-1,Private,"Mention it to a peer first and see whether they agree.",communication:-1;integrity:-1;leadership:-2;risk_tolerance:-2,Checking,"Leave it — it is not your place to correct them.",communication:-3;integrity:-3;leadership:-3;risk_tolerance:-3,Silent,pg-disagree-senior,fixture;probe;behavioral;communication
personality,"Your manager presents a plan with a flaw you appear to be the only person to have spotted. What do you do?",situational,"Keep it to yourself — they will find out soon enough.",communication:-3;integrity:-3;leadership:-3;risk_tolerance:-3,Silent,"Catch them one to one and set the problem out.",communication:2;integrity:2;leadership:1;risk_tolerance:-1,Private,"Say it in the room, while everyone can hear the answer.",communication:3;integrity:3;leadership:2;risk_tolerance:3,Speaking up,"Sound out a colleague before you say anything.",communication:-1;integrity:-1;leadership:-2;risk_tolerance:-2,Checking,pg-disagree-senior,fixture;probe;behavioral;communication
personality,"Your team's work is praised in front of the department, and only your name is mentioned. What do you do?",situational,"Name the people who actually did the work.",integrity:3;teamwork:3;ownership:1;accountability:2,Sharing credit,"Say you will come back to it, then thank them privately.",integrity:1;teamwork:1;ownership:1;accountability:1,Deferring,"Accept it — correcting people in public is awkward.",integrity:-2;teamwork:-2;ownership:-1;accountability:-1,Accepting,"Say nothing and let the impression stand.",integrity:-3;teamwork:-3;ownership:-2;accountability:-3,Taking credit,pg-credit-blame,fixture;probe;behavioral;integrity
personality,"Work your whole team delivered has failed, and leadership asks who was responsible. What do you do?",situational,"Let the question hang — somebody else will answer it.",integrity:-3;teamwork:-3;ownership:-2;accountability:-3,Deflecting,"Say the team delivered it and you were part of that team.",integrity:3;teamwork:3;ownership:1;accountability:2,Sharing responsibility,"Name the person whose step actually failed.",integrity:-2;teamwork:-2;ownership:-1;accountability:-1,Attributing,"Say you will come back with a full account of what happened.",integrity:1;teamwork:1;ownership:1;accountability:1,Deferring,pg-credit-blame,fixture;probe;behavioral;integrity
personality,"Which describes you better?",forced_choice,"I would rather take on something I have never done before.",adaptability:3;risk_tolerance:3;ownership:2;resilience:2,Exploring,"I would rather take on something I already know I can do well.",adaptability:-3;risk_tolerance:-3;ownership:-1;resilience:-1,Consolidating,,,,,,,pg-unfamiliar-work,fixture;probe;behavioral;adaptability
personality,"You can choose your next piece of work. Which do you take?",forced_choice,"The safe one, where you already know the ground.",adaptability:-3;risk_tolerance:-3;ownership:-1;resilience:-1,Consolidating,"The unfamiliar one, where you would be learning as you go.",adaptability:3;risk_tolerance:3;ownership:2;resilience:2,Exploring,,,,,,,pg-unfamiliar-work,fixture;probe;behavioral;adaptability
